train_data_size,val_data_size,random_seed,representation,train_acc,val_acc,test_acc,num_epochs,batch_size
0.6,0.1,42,binary,0.8732612133026123,0.7111853361129761,0.8030303120613098,11,16
0.6,0.1,42,n_bins,0.8809891939163208,0.6883852481842041,0.7651515007019043,13,16
0.6,0.1,42,spike_count,0.9038419127464294,0.8425096273422241,0.8181818127632141,15,16
0.6,0.1,42,timesurface,0.8397217988967896,0.791887104511261,0.8560606241226196,11,16
0.6,0.1,42,time_window,0.9198008179664612,0.843216061592102,0.8598484992980957,19,16
0.6,0.1,93,binary,0.9081336855888367,0.791304349899292,0.7651515007019043,17,16
0.6,0.1,93,n_bins,0.8950283527374268,0.7832860946655273,0.810606062412262,13,16
0.6,0.1,93,spike_count,0.8350077271461487,0.8304347991943359,0.8522727489471436,9,16
0.6,0.1,93,timesurface,0.8919371366500854,0.8679525256156921,0.8674242496490479,13,16
0.6,0.1,93,time_window,0.8674651980400085,0.834782600402832,0.8712121248245239,9,16
0.7,0.1,13,binary,0.9082986116409302,0.8048780560493469,0.7840909361839294,15,16
0.7,0.1,13,n_bins,0.8793103694915771,0.7682119011878967,0.814393937587738,11,16
0.7,0.1,13,spike_count,0.8826259970664978,0.8496503233909607,0.8787878751754761,11,16
0.7,0.1,13,timesurface,0.8348806500434875,0.8103448152542114,0.875,9,16
0.7,0.1,13,time_window,0.9047303199768066,0.8485293984413147,0.9015151262283325,13,16
0.7,0.1,42,binary,0.8414013981819153,0.7485954761505127,0.7878788113594055,13,16
0.7,0.1,42,n_bins,0.8921308517456055,0.7191011309623718,0.7613636255264282,13,16
0.7,0.1,42,spike_count,0.837533175945282,0.7931034564971924,0.8371211886405945,9,16
0.7,0.1,42,timesurface,0.8309018611907959,0.7844827771186829,0.8598484992980957,9,16
0.7,0.1,42,time_window,0.9071618318557739,0.8388324975967407,0.8863636255264282,15,16
0.7,0.1,93,binary,0.8976569175720215,0.7289325594902039,0.7992424368858337,13,16
0.7,0.1,93,n_bins,0.9085986018180847,0.7528089880943298,0.7840909361839294,13,16
0.7,0.1,93,spike_count,0.8807692527770996,0.8461538553237915,0.8863636255264282,11,16
0.7,0.1,93,timesurface,0.8806366324424744,0.8470588326454163,0.8522727489471436,13,16
0.7,0.1,93,time_window,0.8940097093582153,0.8573529124259949,0.8409090638160706,13,16
0.8,0.1,13,binary,0.9067091941833496,0.8103932738304138,0.7992424368858337,13,16
0.8,0.1,13,n_bins,0.8908545970916748,0.8019663095474243,0.8863636255264282,13,16
0.8,0.1,13,spike_count,0.9383862018585205,0.8984063863754272,0.8333333134651184,19,16
0.8,0.1,13,timesurface,0.8483178615570068,0.8211206793785095,0.8409090638160706,9,16
0.8,0.1,13,time_window,0.8936194777488708,0.8531468510627747,0.8901515007019043,11,16
0.8,0.1,42,binary,0.8458526730537415,0.725806474685669,0.8181818127632141,9,16
0.8,0.1,42,n_bins,0.8234725594520569,0.6443299055099487,0.8068181872367859,7,16
0.8,0.1,42,spike_count,0.9229366779327393,0.8883248567581177,0.8712121248245239,15,16
