train_data_size,val_data_size,random_seed,representation,val_rate_acc,val_temp_acc,test_rate_acc,test_temp_acc,num_epochs,batch_size
0.5,0.1,59,n_bins,0.0,0.0,tensor(0.6742),tensor(0.6439),23,8
0.5,0.1,59,spike_count,0.0,0.0,tensor(0.6098),tensor(0.4886),23,8
0.5,0.1,59,time_window,0.0,0.0,tensor(0.4394),tensor(0.4394),23,8
0.5,0.1,6,binary,0.0,0.0,tensor(0.3598),tensor(0.3523),21,8
0.5,0.1,6,n_bins,0.0,0.0,tensor(0.7462),tensor(0.6515),21,8
0.5,0.1,93,binary,0.0,0.0,tensor(0.2462),tensor(0.2045),29,8
0.5,0.1,93,n_bins,0.0,0.0,tensor(0.6780),tensor(0.6288),29,8
0.5,0.1,96,binary,0.0,0.0,tensor(0.5492),tensor(0.4697),21,8
0.5,0.1,96,n_bins,0.0,0.0,tensor(0.6818),tensor(0.6288),21,8
0.5,0.1,98,binary,0.0,0.0,tensor(0.4091),tensor(0.3826),23,8
0.5,0.1,98,n_bins,0.0,0.0,tensor(0.6894),tensor(0.6553),23,8
0.6,0.1,13,binary,0.0,0.0,tensor(0.4091),tensor(0.3788),13,8
0.6,0.1,13,n_bins,0.0,0.0,tensor(0.6742),tensor(0.6402),13,8
0.6,0.1,13,spike_count,0.0,0.0,tensor(0.5455),tensor(0.4773),13,8
0.6,0.1,13,time_window,0.0,0.0,tensor(0.4356),tensor(0.4280),13,8
0.6,0.1,42,binary,0.0,0.0,tensor(0.5000),tensor(0.4394),21,8
0.6,0.1,42,n_bins,0.0,0.0,tensor(0.6856),tensor(0.6364),21,8
0.6,0.1,42,spike_count,0.0,0.0,tensor(0.4848),tensor(0.4811),21,8
0.6,0.1,42,time_window,0.0,0.0,tensor(0.4470),tensor(0.4167),21,8
0.6,0.1,44,binary,0.0,0.0,tensor(0.4356),tensor(0.3485),13,8
0.6,0.1,44,n_bins,0.0,0.0,tensor(0.6439),tensor(0.5947),13,8
0.6,0.1,44,spike_count,0.0,0.0,tensor(0.5985),tensor(0.4621),13,8
0.6,0.1,44,time_window,0.0,0.0,tensor(0.4773),tensor(0.4280),13,8
0.6,0.1,45,binary,0.0,0.0,tensor(0.3182),tensor(0.2879),19,8
0.6,0.1,45,n_bins,0.0,0.0,tensor(0.6970),tensor(0.6477),19,8
