name,train_data_size,val_data_size,random_seed,representation,train_acc,val_acc,test_acc,num_epochs,batch_size,target_frames,pooling_mode
time_window_09_6_8_600_linear,0.9,0.1,6,time_window,1.0,0.9345794320106506,0.9053030014038086,12,8,600,linear
time_window_09_6_8_700_linear,0.9,0.1,6,time_window,0.985567033290863,0.8785046935081482,0.8219696879386902,8,8,700,linear
time_window_09_6_8_800_linear,0.9,0.1,6,time_window,1.0,0.9439252614974976,0.8712121248245239,12,8,800,linear
time_window_09_98_8_200_max,0.9,0.1,98,time_window,1.0,0.9532710313796997,0.8712121248245239,16,8,200,max
time_window_09_98_8_300_max,0.9,0.1,98,time_window,1.0,0.9626168012619019,0.8560606241226196,16,8,300,max
time_window_09_98_8_400_max,0.9,0.1,98,time_window,1.0,0.9345794320106506,0.9053030014038086,16,8,400,max
time_window_09_98_8_500_max,0.9,0.1,98,time_window,1.0,0.9252336621284485,0.8787878751754761,12,8,500,max
time_window_09_98_8_600_max,0.9,0.1,98,time_window,1.0,0.9439252614974976,0.8901515007019043,12,8,600,max
time_window_09_98_8_700_max,0.9,0.1,98,time_window,0.9907216429710388,0.8878504633903503,0.8863636255264282,8,8,700,max
time_window_09_98_8_800_max,0.9,0.1,98,time_window,1.0,0.9439252614974976,0.8863636255264282,12,8,800,max
time_window_09_98_8_200_avg,0.9,0.1,98,time_window,1.0,0.9439252614974976,0.875,14,8,200,avg
time_window_09_98_8_300_avg,0.9,0.1,98,time_window,1.0,0.9252336621284485,0.875,10,8,300,avg
time_window_09_98_8_400_avg,0.9,0.1,98,time_window,1.0,0.9532710313796997,0.9015151262283325,16,8,400,avg
time_window_09_98_8_500_avg,0.9,0.1,98,time_window,1.0,0.9345794320106506,0.875,14,8,500,avg
time_window_09_98_8_600_avg,0.9,0.1,98,time_window,1.0,0.9532710313796997,0.9166666865348816,12,8,600,avg
time_window_09_98_8_700_avg,0.9,0.1,98,time_window,1.0,0.9345794320106506,0.8863636255264282,8,8,700,avg
time_window_09_98_8_800_avg,0.9,0.1,98,time_window,1.0,0.9532710313796997,0.8787878751754761,12,8,800,avg
time_window_09_98_8_200_linear,0.9,0.1,98,time_window,1.0,0.9532710313796997,0.8863636255264282,14,8,200,linear
time_window_09_98_8_300_linear,0.9,0.1,98,time_window,1.0,0.9439252614974976,0.8712121248245239,12,8,300,linear
time_window_09_98_8_400_linear,0.9,0.1,98,time_window,0.9762886762619019,0.8971962332725525,0.8030303120613098,8,8,400,linear
time_window_09_98_8_500_linear,0.9,0.1,98,time_window,1.0,0.9439252614974976,0.875,10,8,500,linear
time_window_09_98_8_600_linear,0.9,0.1,98,time_window,0.983505129814148,0.9065420627593994,0.8712121248245239,8,8,600,linear
time_window_09_98_8_700_linear,0.9,0.1,98,time_window,1.0,0.9439252614974976,0.9053030014038086,12,8,700,linear
time_window_09_98_8_800_linear,0.9,0.1,98,time_window,1.0,0.9532710313796997,0.8787878751754761,12,8,800,linear
time_window_09_59_8_200_max,0.9,0.1,59,time_window,1.0,0.9626168012619019,0.9053030014038086,12,8,200,max
time_window_09_59_8_300_max,0.9,0.1,59,time_window,1.0,0.9532710313796997,0.9166666865348816,8,8,300,max
time_window_09_59_8_400_max,0.9,0.1,59,time_window,1.0,0.9439252614974976,0.9090909361839294,12,8,400,max
time_window_09_59_8_500_max,0.9,0.1,59,time_window,1.0,0.9532710313796997,0.8977272510528564,12,8,500,max
time_window_09_59_8_600_max,0.9,0.1,59,time_window,1.0,0.9532710313796997,0.8939393758773804,8,8,600,max
time_window_09_59_8_700_max,0.9,0.1,59,time_window,1.0,0.9439252614974976,0.9166666865348816,12,8,700,max
time_window_09_59_8_800_max,0.9,0.1,59,time_window,1.0,0.9439252614974976,0.8977272510528564,12,8,800,max
time_window_09_59_8_200_avg,0.9,0.1,59,time_window,1.0,0.9345794320106506,0.8939393758773804,10,8,200,avg
time_window_09_59_8_300_avg,0.9,0.1,59,time_window,1.0,0.9345794320106506,0.8863636255264282,12,8,300,avg
time_window_09_59_8_400_avg,0.9,0.1,59,time_window,1.0,0.9439252614974976,0.8825757503509521,10,8,400,avg
time_window_09_59_8_500_avg,0.9,0.1,59,time_window,1.0,0.9532710313796997,0.8636363744735718,12,8,500,avg
time_window_09_59_8_600_avg,0.9,0.1,59,time_window,1.0,0.9439252614974976,0.9280303120613098,12,8,600,avg
time_window_09_59_8_700_avg,0.9,0.1,59,time_window,1.0,0.9065420627593994,0.8825757503509521,8,8,700,avg
